"tax_id","org_name","growth_tmp","ref_type","reference"
519421,"actinocatenispora_rupis",28,"doi","doi.org/10.1186/s12866-018-1320-7"
390989,"actinocatenispora_sera",28,"doi","doi.org/10.1186/s12866-018-1320-7"
227318,"actinocatenispora_thailandica",29,"doi","doi.org/10.1186/s12866-018-1320-7"
46204,"actinocorallia_aurantiaca",30,"doi","doi.org/10.1186/s12866-018-1320-7"
65511,"actinocorallia_aurea",28,"doi","doi.org/10.1186/s12866-018-1320-7"
328075,"actinocorallia_cavernae",28,"doi","doi.org/10.1186/s12866-018-1320-7"
46203,"actinocorallia_glomerata",28,"doi","doi.org/10.1186/s12866-018-1320-7"
58109,"actinocorallia_herbida",28,"doi","doi.org/10.1186/s12866-018-1320-7"
1677853,"actinocorallia_lasiicapitis",28,"doi","doi.org/10.1186/s12866-018-1320-7"
46162,"actinocorallia_libanotica",28,"doi","doi.org/10.1186/s12866-018-1320-7"
111803,"actinocorallia_longicatena",29,"doi","doi.org/10.1186/s12866-018-1320-7"
977794,"actinocrinis_puniceicyclus",22,"doi","doi.org/10.1186/s12866-018-1320-7"
1213861,"actinocrispum_wychmicini",28,"doi","doi.org/10.1186/s12866-018-1320-7"
155976,"actinokineospora_auranticolor",29,"doi","doi.org/10.1186/s12866-018-1320-7"
547056,"actinokineospora_baliensis",28,"doi","doi.org/10.1186/s12866-018-1320-7"
1193682,"actinokineospora_bangkokensis",28,"doi","doi.org/10.1186/s12866-018-1320-7"
547057,"actinokineospora_cibodasensis",28,"doi","doi.org/10.1186/s12866-018-1320-7"
103728,"actinokineospora_diospyrosa",28,"doi","doi.org/10.1186/s12866-018-1320-7"
155975,"actinokineospora_enzanensis",29,"doi","doi.org/10.1186/s12866-018-1320-7"
1816,"actinokineospora_fastidiosa",28,"doi","doi.org/10.1186/s12866-018-1320-7"
103729,"actinokineospora_globicatena",28,"doi","doi.org/10.1186/s12866-018-1320-7"
1490288,"actinokineospora_guangxiensis",30,"doi","doi.org/10.1186/s12866-018-1320-7"
103730,"actinokineospora_inagensis",28,"doi","doi.org/10.1186/s12866-018-1320-7"
1470177,"actinokineospora_mzabensis",28,"doi","doi.org/10.1186/s12866-018-1320-7"
39846,"actinokineospora_riparia",28,"doi","doi.org/10.1186/s12866-018-1320-7"
1048753,"actinokineospora_soli",28,"doi","doi.org/10.1186/s12866-018-1320-7"
909613,"actinokineospora_spheciospongiae",28,"doi","doi.org/10.1186/s12866-018-1320-7"
