"tax_id","org_name","metabolism","ref_type","reference"
78329,"Coenonia anatina","microaerophilic","doi","doi.org/10.1093/nar/gky879"
477675,"Cohnella fontinalis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
108437,"Comamonas nitrativorans","microaerophilic","doi","doi.org/10.1093/nar/gky879"
211502,"Conchiformibius kuhniae","microaerophilic","doi","doi.org/10.1093/nar/gky879"
393662,"Congregibacter litoralis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1505726,"Convivina intestini","microaerophilic","doi","doi.org/10.1093/nar/gky879"
38284,"Corynebacterium accolens","microaerophilic","doi","doi.org/10.1093/nar/gky879"
38286,"Corynebacterium afermentans","microaerophilic","doi","doi.org/10.1093/nar/gky879"
144184,"Corynebacterium afermentans subsp. lipophilum","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1697,"Corynebacterium ammoniagenes","microaerophilic","doi","doi.org/10.1093/nar/gky879"
43765,"Corynebacterium amycolatum","microaerophilic","doi","doi.org/10.1093/nar/gky879"
163202,"Corynebacterium appendicis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1190508,"Corynebacterium aquatimens","microaerophilic","doi","doi.org/10.1093/nar/gky879"
42817,"Corynebacterium argentoratense","microaerophilic","doi","doi.org/10.1093/nar/gky879"
191610,"Corynebacterium atypicum","microaerophilic","doi","doi.org/10.1093/nar/gky879"
169292,"Corynebacterium aurimucosum","microaerophilic","doi","doi.org/10.1093/nar/gky879"
44750,"Corynebacterium auris","microaerophilic","doi","doi.org/10.1093/nar/gky879"
99807,"Corynebacterium auriscanis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
36808,"Corynebacterium bovis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
679663,"Corynebacterium canis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
71254,"Corynebacterium confusum","microaerophilic","doi","doi.org/10.1093/nar/gky879"
53374,"Corynebacterium coyleae","microaerophilic","doi","doi.org/10.1093/nar/gky879"
